year,month,date_of_month,day_of_week,births
2003,1,1,3,7908
2003,1,2,4,11124
2003,1,3,5,12252
2003,1,4,6,8519
2003,1,5,7,7495
2003,1,6,1,11364
2003,1,7,2,12657
2003,1,8,3,12167
2003,1,9,4,12081
2003,1,10,5,12517
2003,1,11,6,8471
2003,1,12,7,7297
2003,1,13,1,11197
2003,1,14,2,12918
2003,1,15,3,12140
2003,1,16,4,12136
2003,1,17,5,12110
2003,1,18,6,8431
2003,1,19,7,7498
2003,1,20,1,11045
2003,1,21,2,12288
2003,1,22,3,12097
2003,1,23,4,12185
2003,1,24,5,12107
2003,1,25,6,8379
2003,1,26,7,7389
2003,1,27,1,11418
2003,1,28,2,12595
2003,1,29,3,12100
2003,1,30,4,12289
2003,1,31,5,11989
2003,2,1,6,8667
2003,2,2,7,7685
2003,2,3,1,11498
2003,2,4,2,12566
2003,2,5,3,12011
2003,2,6,4,12352
2003,2,7,5,12381
2003,2,8,6,8573
2003,2,9,7,7482
2003,2,10,1,11996
2003,2,11,2,12961
2003,2,12,3,12595
2003,2,13,4,12340
2003,2,14,5,13051
2003,2,15,6,8850
2003,2,16,7,7669
2003,2,17,1,10707
2003,2,18,2,12637
2003,2,19,3,12626
2003,2,20,4,12545
2003,2,21,5,12689
2003,2,22,6,8883
2003,2,23,7,7723
2003,2,24,1,11874
2003,2,25,2,12882
2003,2,26,3,12356
2003,2,27,4,12657
2003,2,28,5,12533
2003,3,1,6,8587
2003,3,2,7,7545
2003,3,3,1,12774
2003,3,4,2,12871
2003,3,5,3,12483
2003,3,6,4,12604
2003,3,7,5,12503
2003,3,8,6,8649
2003,3,9,7,7387
2003,3,10,1,11671
2003,3,11,2,12935
2003,3,12,3,12520
2003,3,13,4,12333
2003,3,14,5,12770
2003,3,15,6,8601
2003,3,16,7,7472
2003,3,17,1,11990
2003,3,18,2,12960
2003,3,19,3,12587
2003,3,20,4,12755
2003,3,21,5,12653
2003,3,22,6,8488
2003,3,23,7,7420
2003,3,24,1,11654
2003,3,25,2,13054
2003,3,26,3,12549
2003,3,27,4,12601
2003,3,28,5,12493
2003,3,29,6,8691
2003,3,30,7,7493
2003,3,31,1,11481
2003,4,1,2,12000
2003,4,2,3,12994
2003,4,3,4,12599
2003,4,4,5,12669
2003,4,5,6,8440
2003,4,6,7,7265
2003,4,7,1,11750
2003,4,8,2,13020
2003,4,9,3,12397
2003,4,10,4,12689
2003,4,11,5,12397
2003,4,12,6,8517
2003,4,13,7,7234
2003,4,14,1,11800
2003,4,15,2,13055
2003,4,16,3,12947
2003,4,17,4,12926
2003,4,18,5,11680
2003,4,19,6,8155
2003,4,20,7,7155
2003,4,21,1,11465
2003,4,22,2,12696
2003,4,23,3,12616
2003,4,24,4,12530
2003,4,25,5,12255
2003,4,26,6,8343
2003,4,27,7,7453
2003,4,28,1,11666
2003,4,29,2,12672
2003,4,30,3,12306
2003,5,1,4,12727
2003,5,2,5,12549
2003,5,3,6,8488
2003,5,4,7,7551
2003,5,5,1,12001
2003,5,6,2,13165
2003,5,7,3,12667
2003,5,8,4,12902
2003,5,9,5,12710
2003,5,10,6,8706
2003,5,11,7,7576
2003,5,12,1,12118
2003,5,13,2,12685
2003,5,14,3,12833
2003,5,15,4,13074
2003,5,16,5,12840
2003,5,17,6,8687
2003,5,18,7,7606
2003,5,19,1,12035
2003,5,20,2,13239
2003,5,21,3,13380
2003,5,22,4,13393
2003,5,23,5,13176
2003,5,24,6,8769
2003,5,25,7,7690
2003,5,26,1,7933
2003,5,27,2,12390
2003,5,28,3,13854
2003,5,29,4,13497
2003,5,30,5,13224
2003,5,31,6,8850
2003,6,1,7,7650
2003,6,2,1,12041
2003,6,3,2,13090
2003,6,4,3,12853
2003,6,5,4,12850
2003,6,6,5,12869
2003,6,7,6,8670
2003,6,8,7,7606
2003,6,9,1,11917
2003,6,10,2,13326
2003,6,11,3,13154
2003,6,12,4,13092
2003,6,13,5,12013
2003,6,14,6,8696
2003,6,15,7,7680
2003,6,16,1,12388
2003,6,17,2,13443
2003,6,18,3,13082
2003,6,19,4,12975
2003,6,20,5,12693
2003,6,21,6,8734
2003,6,22,7,7742
2003,6,23,1,12236
2003,6,24,2,13578
2003,6,25,3,13468
2003,6,26,4,13330
2003,6,27,5,12862
2003,6,28,6,8862
2003,6,29,7,7723
2003,6,30,1,12261
2003,7,1,2,13930
2003,7,2,3,13823
2003,7,3,4,13487
2003,7,4,5,9504
2003,7,5,6,8269
2003,7,6,7,7871
2003,7,7,1,12630
2003,7,8,2,13906
2003,7,9,3,13508
2003,7,10,4,13600
2003,7,11,5,13096
2003,7,12,6,8908
2003,7,13,7,7946
2003,7,14,1,12281
2003,7,15,2,13711
2003,7,16,3,13480
2003,7,17,4,13729
2003,7,18,5,13225
2003,7,19,6,8926
2003,7,20,7,8058
2003,7,21,1,12419
2003,7,22,2,13775
2003,7,23,3,13539
2003,7,24,4,13569
2003,7,25,5,12977
2003,7,26,6,8978
2003,7,27,7,7830
2003,7,28,1,12434
2003,7,29,2,13825
2003,7,30,3,13557
2003,7,31,4,13445
2003,8,1,5,13242
2003,8,2,6,8882
2003,8,3,7,7838
2003,8,4,1,12233
2003,8,5,2,13735
2003,8,6,3,13363
2003,8,7,4,13539
2003,8,8,5,13352
2003,8,9,6,9226
2003,8,10,7,7954
2003,8,11,1,12282
2003,8,12,2,13995
2003,8,13,3,13202
2003,8,14,4,13391
2003,8,15,5,13206
2003,8,16,6,9316
2003,8,17,7,8181
2003,8,18,1,12437
2003,8,19,2,13831
2003,8,20,3,13464
2003,8,21,4,13528
2003,8,22,5,13478
2003,8,23,6,9240
2003,8,24,7,7936
2003,8,25,1,12631
2003,8,26,2,14008
2003,8,27,3,13854
2003,8,28,4,14099
2003,8,29,5,13769
2003,8,30,6,9344
2003,8,31,7,7865
2003,9,1,1,8164
2003,9,2,2,12684
2003,9,3,3,14427
2003,9,4,4,14161
2003,9,5,5,13897
2003,9,6,6,9400
2003,9,7,7,8188
2003,9,8,1,12701
2003,9,9,2,13869
2003,9,10,3,14180
2003,9,11,4,13196
2003,9,12,5,13848
2003,9,13,6,9574
2003,9,14,7,8500
2003,9,15,1,13068
2003,9,16,2,14399
2003,9,17,3,14018
2003,9,18,4,14066
2003,9,19,5,13560
2003,9,20,6,9688
2003,9,21,7,8500
2003,9,22,1,12987
2003,9,23,2,14376
2003,9,24,3,13841
2003,9,25,4,13865
2003,9,26,5,13846
2003,9,27,6,9177
2003,9,28,7,8206
2003,9,29,1,12522
2003,9,30,2,13413
2003,10,1,3,13398
2003,10,2,4,13638
2003,10,3,5,13284
2003,10,4,6,8983
2003,10,5,7,7744
2003,10,6,1,12104
2003,10,7,2,13523
2003,10,8,3,13509
2003,10,9,4,13285
2003,10,10,5,13306
2003,10,11,6,8721
2003,10,12,7,7816
2003,10,13,1,11455
2003,10,14,2,13274
2003,10,15,3,12949
2003,10,16,4,12711
2003,10,17,5,12676
2003,10,18,6,8564
2003,10,19,7,7561
2003,10,20,1,12073
2003,10,21,2,13300
2003,10,22,3,13054
2003,10,23,4,12817
2003,10,24,5,12566
2003,10,25,6,8568
2003,10,26,7,7818
2003,10,27,1,11956
2003,10,28,2,13426
2003,10,29,3,12950
2003,10,30,4,12600
2003,10,31,5,11005
2003,11,1,6,8491
2003,11,2,7,7716
2003,11,3,1,12443
2003,11,4,2,13374
2003,11,5,3,12998
2003,11,6,4,12801
2003,11,7,5,12535
2003,11,8,6,8719
2003,11,9,7,7481
2003,11,10,1,12117
2003,11,11,2,13166
2003,11,12,3,12680
2003,11,13,4,12438
2003,11,14,5,12433
2003,11,15,6,8309
2003,11,16,7,7486
2003,11,17,1,12006
2003,11,18,2,13330
2003,11,19,3,12879
2003,11,20,4,12988
2003,11,21,5,13036
2003,11,22,6,8623
2003,11,23,7,7383
2003,11,24,1,13035
2003,11,25,2,13732
2003,11,26,3,12069
2003,11,27,4,7340
2003,11,28,5,9407
2003,11,29,6,8043
2003,11,30,7,7330
2003,12,1,1,12213
2003,12,2,2,13454
2003,12,3,3,13199
2003,12,4,4,12631
2003,12,5,5,12180
2003,12,6,6,8247
2003,12,7,7,7383
2003,12,8,1,11708
2003,12,9,2,13001
2003,12,10,3,12739
2003,12,11,4,12502
2003,12,12,5,12484
2003,12,13,6,8303
2003,12,14,7,7462
2003,12,15,1,12319
2003,12,16,2,13649
2003,12,17,3,13454
2003,12,18,4,13865
2003,12,19,5,13693
2003,12,20,6,8953
2003,12,21,7,7657
2003,12,22,1,13249
2003,12,23,2,12939
2003,12,24,3,9272
2003,12,25,4,6744
2003,12,26,5,10431
2003,12,27,6,8785
2003,12,28,7,7763
2003,12,29,1,13125
2003,12,30,2,14700
2003,12,31,3,12540
